zip_code,city,zillow_county,pop_total,qol_score,qol_rank,score_economic_security,score_housing_affordability,score_education,score_health_environment,score_flood_climate_risk,score_mobility
08061,Mount Royal,Gloucester County,4411,87.45156814720474,31,87.35354318367095,98.61989487733307,51.4529520295203,76.49110576887738,67.248322147651,44.756315923835665
07082,Towaco,Morris County,5688,87.21121808375084,32,86.01153915136042,82.03727661372535,80.17758302583026,92.46996347982868,51.40647796906915,40.00744465006392
07059,Warren Township,Somerset County,16433,87.12932592943264,33,88.96272157543078,80.36322646003272,74.6309963099631,87.73650256731547,69.58772770853308,43.964063069334244
07676,Township of Washington,Bergen County,9276,87.02866809690246,34,81.96199199199867,91.48591851567278,63.8261070110701,87.289892832449,67.66290034831366,41.18989862266811
08853,Branchburg Township,Somerset County,5415,86.84780732735807,35,80.30214428283719,84.35226957298465,81.69972324723247,88.53628658877383,77.04171601526517,30.430649396180442
08540,Princeton,Mercer County,49499,86.83582636434866,36,76.69121241346024,79.24377279828319,91.1669741697417,92.04097466767081,72.56137211036538,62.93427697998403
08020,Clarksboro,Gloucester County,2522,86.57469035440776,37,86.1798637854112,97.89254217754913,38.24953874538744,77.61616156193024,99.99999999999999,26.180101337524146
07450,Ridgewood,Bergen County,26076,86.46667320775558,38,88.7123672869631,78.42203131537589,89.10285977859778,92.12904461750428,27.178338347604726,51.70541546098488
07079,South Orange,Essex County,18369,86.14366617357139,39,79.40417296550068,75.39035192168906,83.91374538745387,88.1294456349349,99.99999999999999,62.52616030354405
07302,Jersey City,Hudson County,55448,85.99868167168891,40,79.0535506513374,83.44191457542381,88.4571033210332,92.46557062125287,19.875817887273556,91.407853459555
07030,Hoboken,Hudson County,58340,85.87268017901437,41,79.89622370530508,83.8726984483255,91.9511070110701,91.18093179969895,12.511548853830728,86.21741573574907
07930,Chester,Morris County,8205,85.8192869695164,42,78.60457802195707,80.46011694974898,76.130073800738,90.64930069879242,96.32955334413329,34.935398905653095
08867,Pittstown,Hunterdon County,5411,85.57154728745508,43,86.56879847574238,84.95074281690871,66.10931734317343,80.91844109473116,78.71140939597313,45.98043706296746
07310,Jersey City,Hudson County,14577,85.51161760721423,44,76.3104943051557,78.36063801620416,97.14022140221401,97.54064679468824,15.835804588731076,100.0
08820,Edison,Middlesex County,39392,85.17701174951534,45,81.26603909481041,80.25660788417268,78.11346863468634,87.97147928033776,79.06040268456375,42.58404073793759
